CHKP LOAD-in
FileName set to saasim.properties
ConfigurationUtils.locate(): base is null, name is saasim.properties
Could not locate file saasim.properties at null: no protocol: saasim.properties
Loading configuration from the path saasim.properties
Base path set to file:///Users/ricardo/Documents/git/SaaSim/saasim.properties
CHKP LOAD-out
REQUEST-RT 0 640 378
REQUEST-RT 200 508 200
REQUEST-RT 401 561 200
REQUEST-RT 603 541 200
REQUEST-RT 804 547 200
REQUEST-RT 1005 541 200
REQUEST-RT 1206 540 200
REQUEST-RT 1407 537 200
REQUEST-RT 1609 534 200
REQUEST-RT 1810 531 200
REQUEST-RT 2012 529 200
REQUEST-RT 2213 527 200
REQUEST-RT 2413 525 200
REQUEST-RT 2615 523 200
REQUEST-RT 2816 519 200
REQUEST-RT 3017 518 200
REQUEST-RT 3219 514 200
REQUEST-RT 3420 512 200
REQUEST-RT 3621 509 200
REQUEST-RT 3823 508 200
REQUEST-RT 4023 506 200
REQUEST-RT 4224 504 200
REQUEST-RT 4425 500 200
REQUEST-RT 4628 497 200
REQUEST-RT 4828 495 200
REQUEST-RT 5030 493 200
REQUEST-RT 5231 490 200
REQUEST-RT 5432 488 200
REQUEST-RT 5633 485 200
REQUEST-RT 5835 482 200
REQUEST-RT 6036 481 200
REQUEST-RT 6237 477 200
REQUEST-RT 6438 476 200
REQUEST-RT 6640 471 200
REQUEST-RT 6841 470 200
REQUEST-RT 7043 466 200
REQUEST-RT 7244 464 200
REQUEST-RT 7445 463 200
REQUEST-RT 7646 460 200
REQUEST-RT 7847 458 200
REQUEST-RT 8048 456 200
REQUEST-RT 8249 453 200
REQUEST-RT 8451 451 200
REQUEST-RT 8652 447 200
REQUEST-RT 8853 444 200
REQUEST-RT 9056 442 200
REQUEST-RT 9256 440 200
REQUEST-RT 9457 437 200
REQUEST-RT 9659 434 200
REQUEST-RT 9860 433 200
REQUEST-RT 10061 430 200
REQUEST-RT 10262 428 200
REQUEST-RT 10463 425 200
REQUEST-RT 10665 422 200
REQUEST-RT 10866 419 200
REQUEST-RT 11068 418 200
REQUEST-RT 11268 416 200
REQUEST-RT 11469 415 200
REQUEST-RT 11670 411 200
REQUEST-RT 11871 408 200
REQUEST-RT 12074 406 200
REQUEST-RT 12274 404 200
REQUEST-RT 12475 402 200
REQUEST-RT 12677 399 200
REQUEST-RT 12879 397 200
REQUEST-RT 13079 395 200
REQUEST-RT 13281 392 200
REQUEST-RT 13482 391 200
REQUEST-RT 13682 389 200
REQUEST-RT 13884 386 200
REQUEST-RT 14085 383 200
REQUEST-RT 14287 381 200
REQUEST-RT 14487 379 200
REQUEST-RT 14689 375 200
REQUEST-RT 14891 373 200
REQUEST-RT 15091 372 200
REQUEST-RT 15292 370 200
REQUEST-RT 15493 367 200
REQUEST-RT 15695 364 200
REQUEST-RT 15896 361 200
REQUEST-RT 16098 359 200
REQUEST-RT 16298 357 200
REQUEST-RT 16500 354 200
REQUEST-RT 16701 352 200
REQUEST-RT 16902 349 200
REQUEST-RT 17104 346 200
REQUEST-RT 17305 343 200
REQUEST-RT 17507 341 200
REQUEST-RT 17707 340 200
REQUEST-RT 17908 338 200
REQUEST-RT 18109 335 200
REQUEST-RT 18311 332 200
REQUEST-RT 18512 330 200
REQUEST-RT 18713 328 200
REQUEST-RT 18914 264 200
REQUEST-RT 19393 624 200
REQUEST-RT 19519 788 200
REQUEST-RT 19719 940 200
REQUEST-RT 19385 1500 378
REQUEST-RT 19920 1022 200
REQUEST-RT 20123 1056 200
REQUEST-RT 20323 1068 200
REQUEST-RT 20524 1084 200
REQUEST-RT 20725 1071 200
REQUEST-RT 20927 1054 200
REQUEST-RT 21128 1059 200
REQUEST-RT 21329 1060 200
REQUEST-RT 21531 1058 200
REQUEST-RT 21731 1051 200
REQUEST-RT 21932 1049 200
REQUEST-RT 22135 1046 200
REQUEST-RT 22336 1046 200
REQUEST-RT 22538 1042 200
REQUEST-RT 22738 1040 200
REQUEST-RT 22940 1038 200
REQUEST-RT 23140 1033 200
REQUEST-RT 23343 1034 200
REQUEST-RT 23543 1029 200
REQUEST-RT 23745 1028 200
REQUEST-RT 23945 1024 200
REQUEST-RT 24147 1024 200
REQUEST-RT 24348 1021 200
REQUEST-RT 24550 1017 200
REQUEST-RT 24750 1016 200
REQUEST-RT 24952 1011 200
REQUEST-RT 25152 1011 200
REQUEST-RT 25354 1009 200
REQUEST-RT 25556 1007 200
REQUEST-RT 25757 1005 200
REQUEST-RT 25958 1001 200
REQUEST-RT 26159 999 200
REQUEST-RT 26360 998 200
REQUEST-RT 26562 997 200
REQUEST-RT 26762 992 200
REQUEST-RT 26964 990 200
REQUEST-RT 27165 988 200
REQUEST-RT 27367 986 200
REQUEST-RT 27568 984 200
REQUEST-RT 27768 980 200
REQUEST-RT 27970 978 200
REQUEST-RT 28171 975 200
REQUEST-RT 28373 973 200
REQUEST-RT 28574 969 200
REQUEST-RT 28775 968 200
REQUEST-RT 28977 966 200
REQUEST-RT 29178 962 200
REQUEST-RT 29379 959 200
REQUEST-RT 29581 957 200
REQUEST-RT 29782 954 200
REQUEST-RT 29983 952 200
REQUEST-RT 30184 949 200
REQUEST-RT 30386 947 200
REQUEST-RT 30587 946 200
REQUEST-RT 30788 941 200
REQUEST-RT 30990 941 200
REQUEST-RT 31190 937 200
REQUEST-RT 31391 935 200
REQUEST-RT 31593 933 200
REQUEST-RT 31794 931 200
REQUEST-RT 31995 928 200
REQUEST-RT 32197 926 200
REQUEST-RT 32397 922 200
REQUEST-RT 32599 922 200
REQUEST-RT 32800 917 200
REQUEST-RT 33001 916 200
REQUEST-RT 33203 912 200
REQUEST-RT 33404 911 200
REQUEST-RT 33606 907 200
REQUEST-RT 33806 907 200
REQUEST-RT 34007 906 200
REQUEST-RT 34208 901 200
REQUEST-RT 34410 898 200
REQUEST-RT 34611 896 200
REQUEST-RT 34812 894 200
REQUEST-RT 35013 890 200
REQUEST-RT 35215 888 200
REQUEST-RT 35416 887 200
REQUEST-RT 35618 885 200
REQUEST-RT 35819 880 200
REQUEST-RT 36020 878 200
REQUEST-RT 36221 877 200
REQUEST-RT 36422 874 200
REQUEST-RT 36623 871 200
REQUEST-RT 36824 869 200
REQUEST-RT 37026 867 200
REQUEST-RT 37228 865 200
REQUEST-RT 37428 864 200
REQUEST-RT 37629 858 200
REQUEST-RT 37830 856 200
REQUEST-RT 38031 855 200
REQUEST-RT 38234 851 200
REQUEST-RT 38435 848 200
REQUEST-RT 38637 846 200
REQUEST-RT 38837 845 200
REQUEST-RT 39038 840 200
REQUEST-RT 39240 838 200
REQUEST-RT 39441 835 200
REQUEST-RT 39643 832 200
REQUEST-RT 39844 829 200
REQUEST-RT 40046 827 200
REQUEST-RT 40247 826 200
REQUEST-RT 40448 825 200
REQUEST-RT 40649 819 200
REQUEST-RT 40850 817 200
REQUEST-RT 41051 816 200
REQUEST-RT 41252 813 200
REQUEST-RT 41455 808 200
REQUEST-RT 41656 807 200
REQUEST-RT 41856 807 200
REQUEST-RT 42058 803 200
REQUEST-RT 42259 801 200
REQUEST-RT 42461 800 200
REQUEST-RT 42661 797 200
REQUEST-RT 42863 794 200
REQUEST-RT 43064 793 200
REQUEST-RT 43265 790 200
REQUEST-RT 43466 787 200
REQUEST-RT 43668 784 200
REQUEST-RT 43869 782 200
REQUEST-RT 44071 778 200
REQUEST-RT 44271 776 200
REQUEST-RT 44474 774 200
REQUEST-RT 44674 771 200
REQUEST-RT 44876 769 200
REQUEST-RT 45077 767 200
REQUEST-RT 45278 764 200
REQUEST-RT 45479 762 200
REQUEST-RT 45681 758 200
REQUEST-RT 45881 758 200
REQUEST-RT 46083 753 200
REQUEST-RT 46285 753 200
REQUEST-RT 46485 750 200
REQUEST-RT 46686 747 200
REQUEST-RT 46887 746 200
REQUEST-RT 47089 741 200
REQUEST-RT 47291 740 200
REQUEST-RT 47491 738 200
REQUEST-RT 47693 734 200
REQUEST-RT 47893 731 200
REQUEST-RT 48096 730 200
REQUEST-RT 48297 726 200
REQUEST-RT 48498 725 200
REQUEST-RT 48699 722 200
REQUEST-RT 48900 721 200
REQUEST-RT 49101 717 200
REQUEST-RT 49303 716 200
REQUEST-RT 49503 712 200
REQUEST-RT 49705 710 200
REQUEST-RT 49906 709 200
REQUEST-RT 50108 704 200
REQUEST-RT 50309 702 200
REQUEST-RT 50510 701 200
REQUEST-RT 50711 698 200
REQUEST-RT 50912 694 200
REQUEST-RT 51114 692 200
REQUEST-RT 51316 690 200
REQUEST-RT 51516 687 200
REQUEST-RT 51717 686 200
REQUEST-RT 51919 681 200
REQUEST-RT 52121 680 200
REQUEST-RT 52321 678 200
REQUEST-RT 52523 674 200
REQUEST-RT 52723 674 200
REQUEST-RT 52925 670 200
REQUEST-RT 53126 667 200
REQUEST-RT 53328 665 200
REQUEST-RT 53529 662 200
REQUEST-RT 53730 658 200
REQUEST-RT 53932 658 200
REQUEST-RT 54133 654 200
REQUEST-RT 54334 653 200
REQUEST-RT 54535 650 200
REQUEST-RT 54736 649 200
REQUEST-RT 54937 644 200
REQUEST-RT 55139 642 200
REQUEST-RT 55340 640 200
REQUEST-RT 55542 637 200
REQUEST-RT 55743 636 200
REQUEST-RT 55943 633 200
REQUEST-RT 56145 630 200
REQUEST-RT 56346 629 200
REQUEST-RT 56547 626 200
REQUEST-RT 56748 625 200
REQUEST-RT 56949 620 200
REQUEST-RT 57151 618 200
REQUEST-RT 57352 615 200
REQUEST-RT 57554 613 200
REQUEST-RT 57755 611 200
REQUEST-RT 57956 608 200
REQUEST-RT 58157 606 200
REQUEST-RT 58359 603 200
REQUEST-RT 58559 603 200
REQUEST-RT 58761 600 200
REQUEST-RT 58962 597 200
REQUEST-RT 59164 595 200
REQUEST-RT 59365 591 200
STAT-STATIC 60000 0 MachineStatistics [U= 0.0 N= 1 N_warmingDown= 0 N_startingUp = 0 A_0= 0.0 tier= 0 T= 60 B= 0 A_0= 304 A_i= 299 C_0= 0 C_i= 296 averageIAT= 0.19989632107023406 var_IAT= 6.568086486728335E-4 averageST= 0.20120270270270282 var_ST= 2.1263458728999274E-4 ]
REQUEST-RT 59566 590 200
REQUEST-RT 59768 586 200
REQUEST-RT 59969 584 200
REQUEST-RT 60170 581 200
REQUEST-RT 60372 580 200
REQUEST-RT 60572 577 200
REQUEST-RT 60774 575 200
REQUEST-RT 60974 573 200
REQUEST-RT 61176 569 200
REQUEST-RT 61378 568 200
REQUEST-RT 61578 564 200
REQUEST-RT 61780 563 200
REQUEST-RT 61981 560 200
REQUEST-RT 62182 558 200
REQUEST-RT 62383 556 200
REQUEST-RT 62585 553 200
REQUEST-RT 62785 551 200
REQUEST-RT 62987 548 200
REQUEST-RT 63188 546 200
REQUEST-RT 63389 543 200
REQUEST-RT 63591 541 200
REQUEST-RT 63792 538 200
REQUEST-RT 63993 536 200
REQUEST-RT 64194 534 200
REQUEST-RT 64395 531 200
REQUEST-RT 64597 529 200
REQUEST-RT 64798 526 200
REQUEST-RT 64999 524 200
REQUEST-RT 65200 520 200
REQUEST-RT 65402 518 200
REQUEST-RT 65604 515 200
REQUEST-RT 65804 513 200
REQUEST-RT 66006 511 200
REQUEST-RT 66207 509 200
REQUEST-RT 66407 505 200
REQUEST-RT 66610 504 200
REQUEST-RT 66811 500 200
REQUEST-RT 67011 499 200
REQUEST-RT 67213 495 200
REQUEST-RT 67415 493 200
REQUEST-RT 67616 490 200
REQUEST-RT 67817 488 200
REQUEST-RT 68018 487 200
REQUEST-RT 68219 484 200
REQUEST-RT 68420 482 200
REQUEST-RT 68621 479 200
REQUEST-RT 68823 478 200
REQUEST-RT 69023 475 200
REQUEST-RT 69224 472 200
REQUEST-RT 69427 469 200
REQUEST-RT 69628 467 200
REQUEST-RT 69828 465 200
REQUEST-RT 70030 461 200
REQUEST-RT 70232 459 200
REQUEST-RT 70432 456 200
REQUEST-RT 70635 454 200
REQUEST-RT 70835 450 200
REQUEST-RT 71037 449 200
REQUEST-RT 71238 446 200
REQUEST-RT 71439 444 200
REQUEST-RT 71640 441 200
REQUEST-RT 71842 439 200
REQUEST-RT 72043 435 200
REQUEST-RT 72244 433 200
REQUEST-RT 72446 429 200
REQUEST-RT 72648 425 200
REQUEST-RT 72850 424 200
REQUEST-RT 73050 420 200
REQUEST-RT 73252 419 200
REQUEST-RT 73453 414 200
REQUEST-RT 73655 413 200
REQUEST-RT 73856 410 200
REQUEST-RT 74057 408 200
REQUEST-RT 74258 405 200
REQUEST-RT 74460 403 200
REQUEST-RT 74661 402 200
REQUEST-RT 74861 401 200
REQUEST-RT 75063 397 200
REQUEST-RT 75265 395 200
REQUEST-RT 75465 393 200
REQUEST-RT 75667 390 200
REQUEST-RT 75868 387 200
REQUEST-RT 76070 384 200
REQUEST-RT 76271 382 200
REQUEST-RT 76472 380 200
REQUEST-RT 76673 378 200
REQUEST-RT 76874 376 200
REQUEST-RT 77075 374 200
REQUEST-RT 77276 372 200
REQUEST-RT 77477 369 200
REQUEST-RT 77679 365 200
REQUEST-RT 77881 361 200
REQUEST-RT 78083 359 200
REQUEST-RT 78283 358 200
REQUEST-RT 78484 355 200
REQUEST-RT 78686 353 200
REQUEST-RT 78886 351 200
REQUEST-RT 79088 348 200
REQUEST-RT 79289 345 200
REQUEST-RT 79491 342 200
REQUEST-RT 79692 340 200
REQUEST-RT 79893 337 200
REQUEST-RT 80095 334 200
REQUEST-RT 80296 332 200
REQUEST-RT 80497 330 200
REQUEST-RT 80698 328 200
REQUEST-RT 80899 326 200
REQUEST-RT 81100 323 200
REQUEST-RT 81302 320 200
REQUEST-RT 81503 318 200
REQUEST-RT 81704 315 200
REQUEST-RT 81906 312 200
REQUEST-RT 82107 310 200
REQUEST-RT 82308 307 200
REQUEST-RT 82510 304 200
REQUEST-RT 82711 303 200
REQUEST-RT 82911 301 200
REQUEST-RT 83113 298 200
REQUEST-RT 83314 296 200
REQUEST-RT 83515 294 200
REQUEST-RT 83716 291 200
REQUEST-RT 83918 287 200
REQUEST-RT 84120 285 200
REQUEST-RT 84320 284 200
REQUEST-RT 84521 281 200
REQUEST-RT 84723 277 200
REQUEST-RT 84925 275 200
REQUEST-RT 85125 273 200
REQUEST-RT 85327 271 200
REQUEST-RT 85527 271 200
REQUEST-RT 85727 267 200
REQUEST-RT 85931 264 200
REQUEST-RT 86130 263 200
REQUEST-RT 86332 259 200
REQUEST-RT 86534 256 200
REQUEST-RT 86735 255 200
REQUEST-RT 86935 253 200
REQUEST-RT 87137 250 200
REQUEST-RT 87338 248 200
REQUEST-RT 87539 244 200
REQUEST-RT 87742 240 200
REQUEST-RT 87943 238 200
REQUEST-RT 88144 236 200
REQUEST-RT 88345 233 200
REQUEST-RT 88547 230 200
REQUEST-RT 88748 227 200
REQUEST-RT 88950 225 200
REQUEST-RT 89150 223 200
REQUEST-RT 89352 220 200
REQUEST-RT 89553 218 200
REQUEST-RT 89754 216 200
REQUEST-RT 89955 213 200
REQUEST-RT 90157 210 200
REQUEST-RT 90358 208 200
REQUEST-RT 90559 206 200
REQUEST-RT 90760 204 200
REQUEST-RT 90961 202 200
REQUEST-RT 91163 200 200
REQUEST-RT 91364 204 203
REQUEST-RT 91565 202 200
REQUEST-RT 91767 200 200
REQUEST-RT 91967 200 200
REQUEST-RT 92169 211 207
REQUEST-RT 92371 209 200
REQUEST-RT 92571 208 200
REQUEST-RT 92772 206 200
REQUEST-RT 92973 203 200
REQUEST-RT 93175 201 200
REQUEST-RT 93377 205 203
REQUEST-RT 93577 203 200
REQUEST-RT 93779 201 200
REQUEST-RT 93981 204 203
REQUEST-RT 94182 202 200
REQUEST-RT 94383 201 200
REQUEST-RT 94584 200 200
REQUEST-RT 94785 204 203
REQUEST-RT 94986 202 200
REQUEST-RT 95187 201 200
REQUEST-RT 95389 205 203
REQUEST-RT 95589 203 200
REQUEST-RT 95791 201 200
REQUEST-RT 95993 205 203
REQUEST-RT 96193 204 200
REQUEST-RT 96394 202 200
REQUEST-RT 96596 200 200
REQUEST-RT 96797 203 203
REQUEST-RT 96999 201 200
REQUEST-RT 97201 205 203
REQUEST-RT 97401 203 200
REQUEST-RT 97603 201 200
REQUEST-RT 97804 200 200
REQUEST-RT 98005 203 203
REQUEST-RT 98207 201 200
REQUEST-RT 98409 205 203
REQUEST-RT 98609 204 200
REQUEST-RT 98810 202 200
REQUEST-RT 99012 200 200
REQUEST-RT 99213 204 203
REQUEST-RT 99414 202 200
REQUEST-RT 99617 205 203
REQUEST-RT 99817 203 200
REQUEST-RT 100019 201 200
